language	book	k	kmer	count	frequency
dutch	camera_obscura	3	CTU	103	0.00028308213229554874
dutch	camera_obscura	3	TUR	349	0.0009591812055451118
dutch	camera_obscura	3	URE	294	0.0008080208436397217
dutch	camera_obscura	3	RES	449	0.0012340182271912755
dutch	camera_obscura	3	ASL	161	0.0004424876048503238
dutch	camera_obscura	3	SLI	236	0.0006486153710849466
dutch	camera_obscura	3	LIF	117	0.0003215593153260117
dutch	camera_obscura	3	IFE	142	0.00039026857073755263
dutch	camera_obscura	3	FET	21	5.7715774545694406e-05
dutch	camera_obscura	3	HEC	678	0.0018633950067609908
dutch	camera_obscura	3	ECO	371	0.0010196453503072678
dutch	camera_obscura	3	COU	359	0.000986664907709728
dutch	camera_obscura	3	OUR	316	0.0008684849884018777
dutch	camera_obscura	3	URA	45	0.00012367665974077373
dutch	camera_obscura	3	RAG	106	0.00029132724294493367
dutch	camera_obscura	3	GEO	75	0.00020612776623462286
dutch	camera_obscura	3	EOF	439	0.0012065345250266593
dutch	camera_obscura	3	FMA	24	6.596088519507932e-05
dutch	camera_obscura	3	MAR	134	0.0003682816090058595
dutch	camera_obscura	3	ARG	98	0.00026934028121324054
dutch	camera_obscura	3	EOD	18	4.947066389630949e-05
dutch	camera_obscura	3	DOO	176	0.00048371315809724833
dutch	camera_obscura	3	OON	153	0.00042050064311863065
dutch	camera_obscura	3	ONE	722	0.001984323296285303
dutch	camera_obscura	3	NEB	25	6.870925541154095e-05
dutch	camera_obscura	3	EBY	21	5.7715774545694406e-05
dutch	camera_obscura	3	BYJ	1	2.7483702164616382e-06
dutch	camera_obscura	3	YJA	2	5.4967404329232765e-06
dutch	camera_obscura	3	JAM	1	2.7483702164616382e-06
dutch	camera_obscura	3	MES	134	0.0003682816090058595
dutch	camera_obscura	3	ESO	238	0.0006541121115178699
dutch	camera_obscura	3	SOL	40	0.00010993480865846553
dutch	camera_obscura	3	OLI	54	0.00014841199168892847
dutch	camera_obscura	3	LIV	96	0.00026384354078031727
dutch	camera_obscura	3	IVE	296	0.0008135175840726449
dutch	camera_obscura	3	VER	625	0.0017177313852885239
dutch	camera_obscura	3	ERC	108	0.00029682398337785694
dutch	camera_obscura	3	CUR	80	0.00021986961731693106
dutch	camera_obscura	3	URW	14	3.8477183030462935e-05
dutch	camera_obscura	3	RWO	41	0.00011268317887492716
dutch	camera_obscura	3	WOO	40	0.00010993480865846553
dutch	camera_obscura	3	ODF	26	7.14576256280026e-05
dutch	camera_obscura	3	DFR	71	0.00019513428536877632
dutch	camera_obscura	3	FRO	421	0.0011570638611303496
dutch	camera_obscura	3	RON	78	0.0002143728768840078
dutch	camera_obscura	3	ONT	430	0.0011817991930785044
dutch	camera_obscura	3	NTI	292	0.0008025241032067983
dutch	camera_obscura	3	TIS	142	0.00039026857073755263
dutch	camera_obscura	3	ISP	169	0.00046447456658201686
dutch	camera_obscura	3	SPI	98	0.00026934028121324054
dutch	camera_obscura	3	PIE	30	8.245110649384915e-05
dutch	camera_obscura	3	IEC	19	5.221903411277113e-05
dutch	camera_obscura	3	ECE	60	0.0001649022129876983
dutch	camera_obscura	3	CEB	47	0.000129173400173697
dutch	camera_obscura	3	BYL	3	8.245110649384915e-06
dutch	camera_obscura	3	YLE	11	3.023207238107802e-05
dutch	camera_obscura	3	LES	305	0.0008382529160207996
dutch	camera_obscura	3	STE	412	0.001132328529182195
dutch	camera_obscura	3	TER	779	0.002140980398623616
dutch	camera_obscura	3	ERR	397	0.0010911029759352704
dutch	camera_obscura	3	RRA	23	6.321251497861768e-05
dutch	camera_obscura	3	RAL	88	0.00024185657904862416
dutch	camera_obscura	3	LPH	8	2.1986961731693106e-05
dutch	camera_obscura	3	PHP	1	2.7483702164616382e-06
dutch	camera_obscura	3	HPU	1	2.7483702164616382e-06
dutch	camera_obscura	3	PUB	1	2.7483702164616382e-06
dutch	camera_obscura	3	UBL	20	5.4967404329232765e-05
dutch	camera_obscura	3	BLI	57	0.00015665710233831338
dutch	camera_obscura	3	LIS	49	0.00013467014060662027
dutch	camera_obscura	3	ISH	615	0.0016902476831239075
dutch	camera_obscura	3	HED	715	0.0019650847047700715
dutch	camera_obscura	3	BYD	8	2.1986961731693106e-05
dutch	camera_obscura	3	YDO	39	0.0001071864384420039
